	id	site	title	pageviews
3826213	Q7265361	enwiki	Q96	70
5293886	Q3412288	enwiki	Q92	38
5357381	Q7265360	enwiki	Q94	11
5361631	Q7265362	enwiki	Q95	19
11700529	Q95	enwiki	Google	378147
11700530	Q95	arwiki	جوجل	10335
11700531	Q95	ruwiki	Google_(компания)	23146
11700532	Q95	fiwiki	Google	2294
11700533	Q95	eswiki	Google	53512
11700534	Q95	ptwiki	Google	36827
11700535	Q95	frwiki	Google	45987
11700536	Q95	amwiki	ጉግል	214
11700537	Q95	angwiki	Google	236
11700538	Q95	arzwiki	جوجل	241
11700539	Q95	aswiki	গুগল	173
11700540	Q95	astwiki	Google	174
11700541	Q95	azwiki	Google	516
11700542	Q95	barwiki	Google	225
11700543	Q95	bewiki	Google	221
11700544	Q95	bmwiki	Gugolu	175
11700545	Q95	brwiki	Google	176
11700546	Q95	bswiki	Google	895
11700547	Q95	cebwiki	Google	162
11700548	Q95	ckbwiki	گووگڵ	196
11700549	Q95	cswiki	Google	5901
11700550	Q95	cywiki	Google	165
11700551	Q95	dawiki	Google	2007
11700552	Q95	dewiki	Google_Inc.	13993
11700553	Q95	diqwiki	Google	170
11700554	Q95	dsbwiki	Google	209
11700555	Q95	elwiki	Google	2038
11700556	Q95	eowiki	Google	206
11700557	Q95	etwiki	Google	331
11700558	Q95	euwiki	Google	271
11700559	Q95	fawiki	گوگل	4277
11700560	Q95	fowiki	Google	164
11700561	Q95	gawiki	Google	163
11700562	Q95	glwiki	Google	209
11700563	Q95	hewiki	גוגל_(חברה)	2115
11700564	Q95	hrwiki	Google_(tvrtka)	588
11700565	Q95	hsbwiki	Google	161
11700566	Q95	htwiki	Google	162
11700567	Q95	idwiki	Google	12815
11700568	Q95	iowiki	Google	154
11700569	Q95	iswiki	Google	218
11700570	Q95	iuwiki	ᒎᒐᓪ	235
11700571	Q95	jawiki	Google	64577
11700572	Q95	jvwiki	Google	163
11700573	Q95	kawiki	Google	601
11700574	Q95	kaawiki	Google	159
11700575	Q95	kkwiki	Google	707
11700576	Q95	knwiki	ಗೂಗಲ್	223
11700577	Q95	kowiki	구글	17658
11700578	Q95	kuwiki	Google	174
11700579	Q95	kywiki	Google_(компания)	201
11700580	Q95	lawiki	Google	352
11700581	Q95	lowiki	ກູໂກລ	209
11700582	Q95	ltwiki	Google	990
11700583	Q95	lvwiki	Google	662
11700584	Q95	mgwiki	Google	164
11700585	Q95	mlwiki	ഗൂഗിൾ	276
11700586	Q95	mnwiki	Google	329
11700587	Q95	mrwiki	गूगल	333
11700588	Q95	mswiki	Google	403
11700589	Q95	mywiki	ဂူဂယ်	193
11700590	Q95	mznwiki	گوگل	170
